ORF	logmeanRNA	varRNA
YAL062W	4.05537600479506	1.21811054759135
YAL061W	5.19516627544818	1.29427996484488
YAL060W	7.38741233715115	0.315840091738814
YAL059W	6.24378099131875	0.133235264440799
YAL058W	4.90220997476196	0.0317022691882229
YAL056W	5.61598046566621	0.237038775827674
YAL055W	5.12678653462698	0.127994545207414
YAL054C	2.96861450797941	0.166091445031254
YAL053W	6.57123903382335	0.0647842348776777
YAL051W	4.17371419803803	0.0498704676621387
YAL049C	7.51482756942115	0.31885496153356
YAL048C	4.21147690463208	0.091678322298403
YAL047C	4.17952227953802	0.0430321269365876
YAL046C	5.96329272274791	0.0867564404648107
YAL044W.A	6.74801676393012	0.0511832152677982
YAL044C	9.40443710719378	0.06315179435353
YAL043C	5.57140700239421	0.0297564571972302
YAL042C.A	1.08356403549622	0.979943130089097
YAL042W	7.76847759331945	0.0179443870094076
YAL041W	5.55681660771848	0.0271410969208965
YAL040C	6.38130016614864	0.128011796575414
YAL039C	6.73070319280221	0.233868862150253
YAL038W	11.9750348912842	0.0560679590803375
YAL037C.B	3.85554066623288	0.464433751590356
YAL037W	3.89840636761207	0.198545446882104
YAL036C	7.22072428325816	0.0521248011819964
YAL035W	7.5749581046778	0.047761602054095
YAL034W.A	4.767687361808	0.0900277687793682
YAL034C	5.04878344156011	0.16563742357198
YAL033W	6.02844397807427	0.0994999194979513
YAL032C	5.25816861701358	0.0574748312444662
YAL031C	4.51022115781105	0.0690444046889489
YAL030W	7.38102171271506	0.0647100088587038
YAL029C	5.22710728979234	0.0412595334356922
YAL028W	2.9289453756155	0.321187515529356
YAL027W	4.78037750301673	0.128096324046268
YAL026C.A	4.70000551198327	0.194847789707811
YAL026C	4.80597901758408	0.05310981556363
YAL025C	7.55839400504442	0.123429383285369
YAL024C	3.37734979742778	0.0656106831163346
YAL023C	7.57405808400993	0.0624668833328599
YAL022C	5.62508145914139	0.0269673999789539
YAL021C	4.9502148810042	0.0920101835496574
YAL020C	5.40073473693503	0.0338689123428182
YAL019W	5.31594933584744	0.0622837573633248
YAL017W	4.56003502353429	0.154137761653097
YAL016C.A	1.24414696012214	1.17867314646602
YAL016W	6.86768278340281	0.0342029067597451
YAL015C	5.03816915439234	0.0567523037543118
YAL014C	5.95927082364306	0.0317448252721988
YAL013W	5.72519760697828	0.0612305644452178
YAL012W	8.80820590751157	0.0574832228732589
YAL011W	4.97603398050359	0.0389282241927837
YAL010C	4.3733447818928	0.0729277001801591
YAL009W	5.17100421908909	0.0576298693433586
YAL008W	6.53389954671257	0.149251764356748
YAL007C	8.02727268867498	0.0693439742417041
YAL005C	8.29204225501497	0.53497671300191
YAL003W	10.7403784675013	0.0304187198650538
YAL002W	4.51522302181332	0.0527557263055769
YAL001C	4.90640081337484	0.0508406793864502
YAR002W	6.11110358205602	0.0335724344758361
YAR002C.A	8.60065096018467	0.061533229085228
YAR003W	5.33617017610706	0.0421151756988607
YAR007C	6.10880115043234	0.0331402186142924
YAR008W	5.66357342419182	0.0760087977728361
YAR009C	3.23712446822688	9.73460173956759
YAR010C	2.58012988897541	2.9023364660582
YAR014C	5.93364865817012	0.0280621096559983
YAR015W	8.68843654488757	0.0658638339339603
YAR018C	5.69141836152267	0.0568722287476504
YAR019C	3.61861104043311	0.0758273355198451
YAR020C	0.774365807434264	2.11160261627995
YAR023C	3.5416611109069	0.253596465780609
YAR027W	5.41148007955427	0.919302508583357
YAR028W	3.60750240327551	2.0921350131378
YAR029W	2.18087327915649	1.48408487408942
YAR033W	2.07070638414119	4.13932672218612
YAR035W	2.83903119735843	0.168271413023877
YAR042W	4.71305177535187	0.0665763580761229
YAR050W	1.33391695954338	1.12056897417287
