target_id	length	eff_length	est_counts	tpm
YHR055C	186	20.1432	7	5.54854
YPR161C	1974	1775	3923	35.2882
YOL138C	4026	3827	2607	10.8766
YDR395W	2835	2636	12360	74.8656
YGR129W	648	449	848	30.1549
YPR165W	630	431	11811	437.541
YPR098C	486	287	1355	75.3818
YPL015C	1074	875	2543	46.4031
YCL050C	966	767	12980	270.202
YAL069W	315	116.007	5	0.688167
YMR193W	777	578	1226	33.8666
YLR031W	561	362	57	2.51406
YIL014C-A	315	116.007	262	36.06
YGR053C	852	653	184	4.49898
YCR101C	549	350	181	8.25695
YER087C-B	249	53.2273	2384	715.123
YOR280C	801	602	1543	40.924
YGR097W	3441	3242	4139	20.3841
YHR215W	1404	1205	620.042	8.21567
YKL025C	2040	1841	3113	26.9982
YKR011C	1062	863	1152	21.3133
YEL004W	1029	830	1053	20.2563
YJL200C	2370	2171	12875	94.6883
YLL027W	753	554	2436	70.2064
YOR024W	324	125.002	0	0
YLR045C	2667	2468	4199	27.165
YDR348C	1500	1301	4730	58.0487
YPL183C	3042	2843	10450	58.6879
YGR003W	2235	2036	2622	20.5619
YEL008C-A	93	7.96714	0	0
YBL095W	813	614	796	20.6992
YGL060W	1926	1727	2538	23.4643
YLL007C	1998	1799	1103	9.78934
YEL009C	846	647	47992	1184.33
YEL015W	1656	1457	6657	72.9505
YOR083W	888	689	487	11.2854
YBR252W	444	245	2452	159.795
YDR329C	1326	1127	3086	43.7201
YDL202W	750	551	1513	43.8426
YHR209W	876	677	384	9.05632
YPR008W	2085	1886	5892	49.8804
YER075C	2787	2588	3049	18.8106
YDL203C	1872	1673	2246	21.435
YBR050C	1017	818	91	1.77622
YMR197C	654	455	1735	60.8831
YDR261W-A	1317	1118	0	0
YBL049W	417	218	33	2.41694
YER054C	1647	1448	268	2.95512
YDR305C	654	455	1023	35.8982
YHL019W-A	594	395	49	1.98065
YNL201C	2577	2378	6066	40.7286
YHR180W-A	183	19.3378	0	0
YCR061W	1896	1697	482	4.53497
YBR206W	324	125.002	1035.89	132.314
YPL171C	1203	1004	72	1.14501
YHR051W	447	248	2568	165.33
YDL116W	2181	1982	5569	44.8624
YPR124W	1221	1022	1530	23.9028
YJL023C	1044	845	841	15.8909
YGL167C	2853	2654	5674	34.1348
YDL165W	576	377	1911	80.9335
YLR154C-H	132	10.8985	0	0
YPL119C-A	264	66.2053	31	7.47615
YIL143C	2532	2333	4519	30.9269
YBR292C	372	173	9	0.830626
YGR240C	2964	2765	55077	318.042
YOR094W	552	353	1210	54.7293
YDR167W	621	422	2275	86.0752
YBR063C	1215	1016	1706	26.8098
YER052C	1584	1385	15048	173.475
YGR178C	2169	1970	10749	87.1186
YPL118W	1035	836	4324	82.5826
YPR187W	468	269	8638	512.708
YJL065C	504	305	1398	73.184
YOL141W	2088	1889	1224	10.3457
YPR086W	1038	839	5004	95.2279
YBR122C	534	335	1910	91.0327
YBR271W	1260	1061	2957	44.4985
YBR279W	1338	1139	5862	82.1734
YHR095W	495	296	18	0.970934
YMR221C	1515	1316	5696	69.1072
YDR241W	288	89.1545	89	15.9388
YJL221C	1770	1571	95.7922	0.97356
YER130C	1332	1133	10237	144.262
YBR155W	1158	959	4257	70.8752
YDR363W	1371	1172	1603	21.8381
YGR266W	2106	1907	3075	25.7456
YLR443W	1347	1148	1762	24.506
YPL147W	2613	2414	760	5.02673
YAL034C	1242	1043	1216	18.6148
YBR067C	633	434	6116	225.002
YCR095C	1089	890	1880	33.7269
YLR270W	1053	854	2768	51.7508
YPR084W	1371	1172	1501	20.4485
YBR184W	1572	1373	421	4.89577
YMR113W	1284	1085	2038	29.9905
YGR035C	351	152	302	31.7229
YDL222C	930	731	107	2.33709
YCL008C	1158	959	1517	25.2567
YEL065W	1887	1688	1613	15.2571
YNL335W	678	479	23.3333	0.777768
YMR296C	1677	1478	9041	97.6677
YDR232W	1647	1448	5221	57.5697
YGR190C	366	167	0	0
YHR116W	456	257	385	23.9186
YDR313C	861	662	852	20.549
YFR018C	1092	893	2323	41.5343
YKL007W	807	608	5350	140.494
YIL048W	3456	3257	3950	19.3637
YDL213C	678	479	5358	178.598
YDR443C	4263	4064	1950	7.66108
YNL292W	1212	1013	3543	55.8433
YKL183C-A	213	30.0561	0	0
YOR324C	1809	1610	2086	20.687
YNL134C	1131	932	9614	164.701
YKL100C	1764	1565	5927	60.4686
YOR192C-B	5313	5114	12542.8	39.1599
YPL021W	564	365	0	0
YIL146C	1590	1391	601	6.89853
YLR299C-A	93	7.96714	0	0
YNL218W	1764	1565	1239	12.6406
YIL121W	1629	1430	24237	270.615
YNL228W	777	578	31	0.856333
YDL167C	2160	1961	8934	72.7407
YPL214C	1623	1424	2217	24.8579
YOR228C	909	710	731	16.4387
YBR270C	1638	1439	905	10.0415
YGR222W	882	683	1524	35.6265
YEL063C	1773	1574	7977	80.9178
YAL068W-A	255	58.2335	0	0
YML020W	1995	1796	1924	17.1044
YGR121C	1479	1280	560	6.98533
YBR222C	1632	1433	5434	60.5456
YDL095W	2454	2255	21658	153.349
YDL003W	1701	1502	4605	48.9518
YOR323C	1371	1172	15627	212.891
YMR183C	888	689	5566	128.983
YOR274W	1287	1088	1809	26.5472
YER146W	282	83.2735	2105	403.603
YML075C	3165	2966	7779	41.8757
YOL035C	303	104.031	1	0.153478
YPL063W	1431	1232	7919	102.629
YDR457W	9807	9608	10125	16.8256
YLR273C	1947	1748	922	8.42168
YDR181C	1446	1247	1728	22.1252
YLR434C	384	185	59	5.09201
YGL097W	1449	1250	8745	111.701
YCL056C	435	236	595	40.2545
YJL083W	1815	1616	619	6.11587
YMR242W-A	90	7.80345	0	0
YOR026W	1026	827	1701	32.8404
YPL140C	1521	1322	1644	19.8554
YNR016C	6702	6503	50438	123.838
YER123W	1575	1376	3668	42.5618
YGR055W	1725	1526	11393	119.204
YKR054C	12279	12080	4665	6.16586
YMR315W	1050	851	10497	196.945
YAL024C	4308	4109	2474	9.6133
YKL202W	582	383	113	4.71074
YKL187C	2253	2054	314	2.44083
YDR383C	717	518	590	18.1858
YDR396W	501	302	10	0.528691
YGR115C	780	581	1	0.027481
YKL055C	837	638	266	6.65687
YDR035W	1113	914	20436	356.992
YBL062W	381	182	4	0.350912
YHR160C	852	653	25	0.611274
YGR047C	3078	2879	3436	19.0555
YDR119W	2307	2108	8371	63.4039
YBR208C	5508	5309	2392	7.19379
YER151C	2739	2540	7891	49.6029
YLR070C	1071	872	214	3.91838
YPR019W	2802	2603	4772	29.2708
YPL228W	1650	1451	3159	34.7609
YPR190C	1965	1766	6543	59.1555
YGR041W	1644	1445	2697	29.8004
YDR353W	960	761	23395	490.848
YHR097C	1101	902	1341	23.7373
YPL047W	300	101.044	504	79.6398
YPL014W	1146	947	5049	85.1264
YGR007W	972	773	4170	86.1322
YML116W	1629	1430	2402	26.8192
YOL137W	1494	1295	2315	28.5424
YGL155W	1131	932	3041	52.0966
YER061C	1329	1130	1522	21.5053
YKL214C	612	413	1840	71.1339
YPL119C	1854	1655	255	2.46009
YDL125C	477	278	7027	403.584
YHR186C	4674	4475	3470	12.3807
YKL011C	1062	863	1102	20.3882
YLL019C	2214	2015	1698	13.4546
YNL257C	3690	3491	4528	20.7093
YGL199C	471	272	12	0.704403
YJR092W	4344	4145	5947	22.9077
YDR010C	333	134.001	4	0.476609
YBL059W	582	383	537	22.3864
YBR291C	900	701	774	17.6292
YPL189C-A	207	27.3759	190	110.814
YDR262W	819	620	2479	63.8401
YFL012W	447	248	23	1.48076
YLR078C	735	536	2010	59.8743
YDR072C	1584	1385	5209	60.0501
YDR179C	489	290	395	21.7474
YKL153W	510	311	53	2.72097
YOR108C-A	210	28.6775	0	0
YGR220C	810	611	2197	57.4114
YIL053W	753	554	57070	1644.78
YMR161W	675	476	2011	67.455
YER011W	765	566	241	6.79845
YDR258C	2436	2237	5191	37.0505
YDR467C	327	128.001	10	1.24737
YGL162W	900	701	808	18.4036
YNL243W	2907	2708	11737	69.2018
YBR234C	1155	956	8426	140.725
YNL047C	1971	1772	2076	18.7056
YKL038W	3513	3314	2142	10.3199
YFL053W	1776	1577	56	0.566977
YOR200W	399	200	2	0.159665
YKR060W	825	626	2600	66.3144
YPR200C	393	194	86	7.07792
YLR411W	726	527	196	5.9382
YLR318W	2655	2456	1271	8.26278
YHR150W	1740	1541	1371	14.2051
YGL219C	1380	1181	2778	37.557
YFL009W	2340	2141	5144.95	38.3684
YBR045C	1920	1721	302	2.80179
YMR039C	879	680	3994	93.7796
YKL195W	1212	1013	6425	101.268
YPR127W	1038	839	2121	40.3634
YPL188W	1245	1046	2582	39.4125
YGL147C	576	377	60714.6	2571.35
YDR217C	3930	3731	4431	18.9621
YML015C	1041	842	2559	48.5252
YJR126C	2436	2237	6262	44.6947
YPR026W	3636	3437	1236	5.7418
YHR073W	2991	2792	7459	42.6554
YMR274C	948	749	1007	21.4663
YMR008C	1995	1796	5579.05	49.5978
YHR125W	306	107.022	1	0.149189
YER119C-A	372	173	3	0.276875
YDL227C	1761	1562	5982	61.1469
YOR197W	1299	1100	7152	103.811
YDR034C-C	1317	1118	1249.63	17.8463
YNL081C	432	233	1854	127.047
YKL096W-A	279	80.3587	35886	7130.19
YDR532C	1158	959	1295	21.5606
YNL319W	441	242	2	0.131954
YDR049W	1899	1700	3263	30.6462
YBR113W	483	284	8	0.44976
YKL170W	417	218	837	61.3025
YJL043W	774	575	28	0.777498
YGL047W	609	410	674	26.2473
YLR006C	2139	1940	1807	14.8719
YHR079C	3348	3149	3941	19.9822
YPR171W	1731	1532	2171	22.6261
YML063W	768	569	112061	3144.5
YLR178C	660	461	1708	59.1556
YHL029C	2040	1841	4724	40.9699
YJL090C	2295	2096	2337	17.8023
YBR008C	1647	1448	1274	14.0479
YDR372C	1038	839	6121	116.485
YOR184W	1188	989	16236	262.115
YHR218W	1812	1613	387.767	3.83836
YMR203W	1164	965	8251	136.517
YBL006W-A	150	13.0193	0	0
YIR008C	1230	1031	2120	32.8312
YBL024W	2055	1856	11821	101.692
YDR317W	1245	1046	282	4.30454
YOL166C	339	140	4	0.456184
YJL087C	2484	2285	3451	24.1139
YJL038C	660	461	19	0.658054
YDR043C	696	497	312	10.0232
YHR028C	2457	2258	8859	62.6426
YOR340C	981	782	8823	180.143
YCL044C	1254	1055	1324	20.0375
YEL072W	696	497	318	10.216
YFR022W	2202	2003	1116	8.89595
