target_id	length	eff_length	est_counts	tpm
YHR055C	186	20.1432	4	3.50838
YPR161C	1974	1775	2882	28.6861
YOL138C	4026	3827	2209.13	10.1985
YDR395W	2835	2636	10840	72.654
YGR129W	648	449	899	35.3744
YPR165W	630	431	11081	454.231
YPR098C	486	287	1178	72.5168
YPL015C	1074	875	1799	36.3244
YCL050C	966	767	10897	251.008
YAL069W	315	116.007	0	0
YMR193W	777	578	1126	34.418
YLR031W	561	362	51	2.48907
YIL014C-A	315	116.007	208	31.6777
YGR053C	852	653	167	4.51834
YCR101C	549	350	142	7.16796
YER087C-B	249	53.2273	1976	655.885
YOR280C	801	602	1435	42.1144
YGR097W	3441	3242	3203	17.455
YHR215W	1404	1205	457.988	6.71494
YKL025C	2040	1841	2335	22.4083
YKR011C	1062	863	938	19.2029
YEL004W	1029	830	856	18.221
YJL200C	2370	2171	10135	82.4782
YLL027W	753	554	2220	70.7976
YOR024W	324	125.002	0	0
YLR045C	2667	2468	3642	26.0718
YDR348C	1500	1301	3876	52.6359
YPL183C	3042	2843	9828	61.075
YGR003W	2235	2036	2393	20.7654
YEL008C-A	93	7.96714	0	0
YBL095W	813	614	772	22.2139
YGL060W	1926	1727	2197	22.4757
YLL007C	1998	1799	990	9.72253
YEL009C	846	647	42159	1151.23
YEL015W	1656	1457	5596	67.8568
YOR083W	888	689	404	10.3595
YBR252W	444	245	2489	179.488
YDR329C	1326	1127	2833	44.4118
YDL202W	750	551	1231	39.4713
YHR209W	876	677	365	9.52532
YPR008W	2085	1886	4802	44.9838
YER075C	2787	2588	2839	19.381
YDL203C	1872	1673	1789	18.8925
YBR050C	1017	818	81	1.74947
YMR197C	654	455	1512	58.7105
YDR261W-A	1317	1118	0	0
YBL049W	417	218	32	2.5934
YER054C	1647	1448	215	2.62328
YDR305C	654	455	947	36.7717
YHL019W-A	594	395	53	2.37058
YNL201C	2577	2378	5522	41.0261
YHR180W-A	183	19.3378	0	0
YCR061W	1896	1697	349	3.63345
YBR206W	324	125.002	790.605	111.742
YPL171C	1203	1004	69	1.2142
YHR051W	447	248	2510	178.812
YDL116W	2181	1982	5277	47.0391
YPR124W	1221	1022	1459	25.222
YJL023C	1044	845	811	16.9566
YGL167C	2853	2654	4689	31.2144
YDL165W	576	377	1603	75.1221
YLR154C-H	132	10.8985	0	0
YPL119C-A	264	66.2053	30	8.00578
YIL143C	2532	2333	3989	30.2082
YBR292C	372	173	6	0.612746
YGR240C	2964	2765	45440	290.348
YOR094W	552	353	1137	56.9064
YDR167W	621	422	2154	90.1797
YBR063C	1215	1016	1490	25.91
YER052C	1584	1385	12342	157.439
YGR178C	2169	1970	7927	71.0916
YPL118W	1035	836	3933	83.1176
YPR187W	468	269	8211	539.286
YJL065C	504	305	1128	65.3408
YOL141W	2088	1889	1159	10.8399
YPR086W	1038	839	4703	99.0349
YBR122C	534	335	1937	102.155
YBR271W	1260	1061	2468	41.0965
YBR279W	1338	1139	4947	76.735
YHR095W	495	296	10	0.596875
YMR221C	1515	1316	5247	70.4418
YDR241W	288	89.1545	70	13.8717
YJL221C	1770	1571	100.982	1.13564
YER130C	1332	1133	6194	96.5866
YBR155W	1158	959	3769	69.4357
YDR363W	1371	1172	1434	21.6171
YGR266W	2106	1907	2458	22.7723
YLR443W	1347	1148	1893	29.1329
YPL147W	2613	2414	733	5.36466
YAL034C	1242	1043	836	14.1611
YBR067C	633	434	5186	211.115
YCR095C	1089	890	1667	33.0918
YLR270W	1053	854	2250	46.5479
YPR084W	1371	1172	1088	16.4012
YBR184W	1572	1373	316	4.06623
