target_id	length	eff_length	est_counts	tpm
YHR055C	186	20.1432	5	3.66399
YPR161C	1974	1775	3825	31.8087
YOL138C	4026	3827	2929	11.2973
YDR395W	2835	2636	13207	73.9556
YGR129W	648	449	959	31.5271
YPR165W	630	431	12533	429.23
YPR098C	486	287	1457	74.9359
YPL015C	1074	875	2766	46.6613
YCL050C	966	767	14228	273.817
YAL069W	315	116.007	4.06278	0.516953
YMR193W	777	578	1403	35.8296
YLR031W	561	362	77	3.13975
YIL014C-A	315	116.007	262	33.3372
YGR053C	852	653	205	4.63397
YCR101C	549	350	166	7.00087
YER087C-B	249	53.2273	2659	737.388
YOR280C	801	602	1691	41.4629
YGR097W	3441	3242	4588	20.8892
YHR215W	1404	1205	709.033	8.68544
YKL025C	2040	1841	3138	25.16
YKR011C	1062	863	1228	21.0039
YEL004W	1029	830	1061	18.869
YJL200C	2370	2171	13479	91.6453
YLL027W	753	554	2571	68.5022
YOR024W	324	125.002	3	0.354255
YLR045C	2667	2468	4437	26.5373
YDR348C	1500	1301	5185	58.828
YPL183C	3042	2843	11466	59.5316
YGR003W	2235	2036	2820	20.4448
YEL008C-A	93	7.96714	0	0
YBL095W	813	614	940	22.5981
YGL060W	1926	1727	2798	23.9148
YLL007C	1998	1799	1207	9.90349
YEL009C	846	647	50919	1161.68
YEL015W	1656	1457	7009	71.0082
YOR083W	888	689	496	10.6261
YBR252W	444	245	2712	163.394
YDR329C	1326	1127	3326	43.5623
YDL202W	750	551	1613	43.2111
YHR209W	876	677	476	10.3784
YPR008W	2085	1886	6319	49.456
YER075C	2787	2588	3210	18.3085
YDL203C	1872	1673	2376	20.9635
YBR050C	1017	818	97	1.75037
YMR197C	654	455	1849	59.9843
YDR261W-A	1317	1118	0	0
YBL049W	417	218	33	2.23445
YER054C	1647	1448	274	2.79315
YDR305C	654	455	1170	37.9566
YHL019W-A	594	395	43	1.60688
YNL201C	2577	2378	6202	38.4975
YHR180W-A	183	19.3378	0	0
YCR061W	1896	1697	472	4.10556
YBR206W	324	125.002	1070.74	126.439
YPL171C	1203	1004	89	1.30848
YHR051W	447	248	2724	162.132
YDL116W	2181	1982	6254	46.5765
YPR124W	1221	1022	1840	26.5754
YJL023C	1044	845	928	16.2108
YGL167C	2853	2654	6011	33.4317
YDL165W	576	377	1992	77.9938
YLR154C-H	132	10.8985	0	0
YPL119C-A	264	66.2053	27	6.01982
YIL143C	2532	2333	4714	29.8255
YBR292C	372	173	12	1.02388
YGR240C	2964	2765	61245	326.955
YOR094W	552	353	1343	56.1583
YDR167W	621	422	2480	86.7464
YBR063C	1215	1016	1899	27.5895
YER052C	1584	1385	15939	169.873
YGR178C	2169	1970	11407	85.4707
YPL118W	1035	836	4352	76.8413
YPR187W	468	269	9481	520.252
YJL065C	504	305	1420	68.7228
YOL141W	2088	1889	1365	10.6663
YPR086W	1038	839	5370	94.4767
YBR122C	534	335	2117	93.28
YBR271W	1260	1061	3177	44.1992
YBR279W	1338	1139	6365	82.4873
YHR095W	495	296	10	0.498678
YMR221C	1515	1316	6236	69.9459
YDR241W	288	89.1545	125	20.6957
YJL221C	1770	1571	110.485	1.0381
YER130C	1332	1133	10717	139.623
YBR155W	1158	959	4414	67.9401
YDR363W	1371	1172	1770	22.2925
YGR266W	2106	1907	3154	24.4131
YLR443W	1347	1148	2109	27.1173
YPL147W	2613	2414	830	5.0752
YAL034C	1242	1043	1278	18.0867
YBR067C	633	434	6916	235.222
YCR095C	1089	890	1941	32.192
YLR270W	1053	854	2957	51.11
YPR084W	1371	1172	1627	20.4914
YBR184W	1572	1373	447	4.80562
YMR113W	1284	1085	2224	30.2564
YGR035C	351	152	334	32.4351
YDL222C	930	731	126	2.54428
YCL008C	1158	959	1600	24.6271
YEL065W	1887	1688	2556	22.3512
YNL335W	678	479	10.5	0.323568
YMR296C	1677	1478	9595	95.8259
YDR232W	1647	1448	5567	56.7499
YGR190C	366	167	2	0.176777
YHR116W	456	257	486	27.9136
YDR313C	861	662	926	20.6474
YFR018C	1092	893	2605	43.0595
