target_id	length	eff_length	est_counts	tpm
YHR055C	186	20.1432	3.5	3.00651
YPR161C	1974	1775	3762	36.6728
YOL138C	4026	3827	2587	11.6966
YDR395W	2835	2636	11925	78.2774
YGR129W	648	449	889	34.2593
YPR165W	630	431	10544	423.303
YPR098C	486	287	1183	71.3224
YPL015C	1074	875	2358	46.6293
YCL050C	966	767	12019	271.142
YAL069W	315	116.007	2	0.29831
YMR193W	777	578	1186	35.5042
YLR031W	561	362	39	1.86414
YIL014C-A	315	116.007	261	38.9295
YGR053C	852	653	185	4.9021
YCR101C	549	350	167	8.25604
YER087C-B	249	53.2273	2752	894.617
YOR280C	801	602	1583	45.4996
YGR097W	3441	3242	4143	22.1119
YHR215W	1404	1205	627.059	9.00419
YKL025C	2040	1841	2870	26.9744
YKR011C	1062	863	1037	20.7918
YEL004W	1029	830	895	18.6581
YJL200C	2370	2171	12925	103.013
YLL027W	753	554	2472	77.208
YOR024W	324	125.002	1	0.138422
YLR045C	2667	2468	4245	29.7616
YDR348C	1500	1301	4641	61.7245
YPL183C	3042	2843	10729	65.2989
YGR003W	2235	2036	2664	22.6402
YEL008C-A	93	7.96714	0	0
YBL095W	813	614	736	20.7411
YGL060W	1926	1727	2533	25.3785
YLL007C	1998	1799	1030	9.90671
YEL009C	846	647	44822	1198.7
YEL015W	1656	1457	6404	76.0528
YOR083W	888	689	395	9.91976
YBR252W	444	245	2260	159.612
YDR329C	1326	1127	2989	45.8908
YDL202W	750	551	1447	45.4402
YHR209W	876	677	371	9.48219
YPR008W	2085	1886	5892	54.0561
YER075C	2787	2588	3324	22.2239
YDL203C	1872	1673	2123	21.9572
YBR050C	1017	818	89	1.88261
YMR197C	654	455	1545	58.7544
YDR261W-A	1317	1118	0	0
YBL049W	417	218	26	2.06367
YER054C	1647	1448	248	2.96351
YDR305C	654	455	908	34.5301
YHL019W-A	594	395	34	1.48938
YNL201C	2577	2378	6136	44.6475
YHR180W-A	183	19.3378	0	0
YCR061W	1896	1697	389	3.96635
YBR206W	324	125.002	950.421	131.559
YPL171C	1203	1004	70	1.20639
YHR051W	447	248	2339	163.193
YDL116W	2181	1982	5473	47.7799
YPR124W	1221	1022	1472	24.9219
YJL023C	1044	845	791	16.1973
YGL167C	2853	2654	5341	34.8213
YDL165W	576	377	1663	76.3263
YLR154C-H	132	10.8985	0	0
YPL119C-A	264	66.2053	25	6.53387
YIL143C	2532	2333	4195	31.1129
YBR292C	372	173	6	0.600107
YGR240C	2964	2765	51218	320.517
YOR094W	552	353	1213	59.4579
YDR167W	621	422	2054	84.2192
YBR063C	1215	1016	1660	28.2708
YER052C	1584	1385	14786	184.724
YGR178C	2169	1970	10231	89.8618
YPL118W	1035	836	3953	81.8171
YPR187W	468	269	8340	536.46
YJL065C	504	305	1279	72.5595
YOL141W	2088	1889	1359	12.4483
YPR086W	1038	839	4978	102.664
YBR122C	534	335	1912	98.7567
YBR271W	1260	1061	2911	47.4734
YBR279W	1338	1139	6045	91.8324
YHR095W	495	296	19	1.11067
YMR221C	1515	1316	5508	72.4205
YDR241W	288	89.1545	82	15.9145
YJL221C	1770	1571	106.229	1.17001
YER130C	1332	1133	7248	110.691
YBR155W	1158	959	4445	80.2004
YDR363W	1371	1172	1675	24.7292
YGR266W	2106	1907	2967	26.9209
YLR443W	1347	1148	1760	26.5274
YPL147W	2613	2414	666	4.77376
YAL034C	1242	1043	1136	18.8459
YBR067C	633	434	6507	259.427
YCR095C	1089	890	1660	32.2732
YLR270W	1053	854	2221	45.0002
YPR084W	1371	1172	1429	21.0974
YBR184W	1572	1373	339	4.27221
YMR113W	1284	1085	1870	29.8219
YGR035C	351	152	455	51.7954
YDL222C	930	731	96	2.27236
YCL008C	1158	959	1424	25.693
YEL065W	1887	1688	1765	18.0924
YNL335W	678	479	20.25	0.731498
YMR296C	1677	1478	8411	98.4683
YDR232W	1647	1448	5040	60.2262
YGR190C	366	167	1	0.103611
YHR116W	456	257	402	27.0655
YDR313C	861	662	839	21.9294
YFR018C	1092	893	2169	42.0273
YKL007W	807	608	4917	139.933
YIL048W	3456	3257	3892	20.6766
YDL213C	678	479	5426	196.005
YDR443C	4263	4064	1932	8.22577
YNL292W	1212	1013	3589	61.3038
YKL183C-A	213	30.0561	1	0.575693
YOR324C	1809	1610	1937	20.8174
YNL134C	1131	932	8003	148.58
YKL100C	1764	1565	5617	62.1031
YOR192C-B	5313	5114	13543.2	45.8231
YPL021W	564	365	1	0.0474057
YIL146C	1590	1391	621	7.72481
YLR299C-A	93	7.96714	0	0
YNL218W	1764	1565	1274	14.0857
YIL121W	1629	1430	23418	283.359
YNL228W	777	578	36	1.0777
YDL167C	2160	1961	9411	83.0389
YPL214C	1623	1424	1996	24.2535
YOR228C	909	710	577	14.0618
YBR270C	1638	1439	806	9.69165
YGR222W	882	683	1540	39.0143
YEL063C	1773	1574	8333	91.6052
YAL068W-A	255	58.2335	0	0
YML020W	1995	1796	1931	18.6037
YGR121C	1479	1280	496	6.70494
YBR222C	1632	1433	4836	58.3934
YDL095W	2454	2255	20366	156.273
YDL003W	1701	1502	4601	53.0036
YOR323C	1371	1172	14813	218.695
YMR183C	888	689	5511	138.4
YOR274W	1287	1088	1673	26.6067
YER146W	282	83.2735	2044	424.715
YML075C	3165	2966	7570	44.1619
YOL035C	303	104.031	0	0
YPL063W	1431	1232	7450	104.633
YDR457W	9807	9608	10385	18.7024
YLR273C	1947	1748	902	8.92871
YDR181C	1446	1247	1679	23.2974
YLR434C	384	185	65	6.07946
